group,subject,item,expected
CB,CB_19,36,1
CB,CB_19,37,1
CB,CB_22,1,1
CB,CB_22,2,1
CB,CB_22,4,1
CB,CB_22,5,0
CB,CB_22,6,1
CB,CB_22,7,1
CB,CB_22,8,0
CB,CB_22,9,0
CB,CB_22,10,0
CB,CB_22,11,1
CB,CB_22,12,1
CB,CB_22,13,0
CB,CB_22,14,1
CB,CB_22,15,1
CB,CB_22,16,1
CB,CB_22,17,1
CB,CB_22,18,0
CB,CB_22,19,0
CB,CB_22,20,0
CB,CB_22,21,1
CB,CB_22,22,0
CB,CB_22,23,1
CB,CB_22,24,1
CB,CB_22,25,0
CB,CB_22,26,1
CB,CB_22,27,1
CB,CB_22,28,1
CB,CB_22,29,0
CB,CB_22,30,1
CB,CB_22,31,0
CB,CB_22,32,0
CB,CB_22,33,1
CB,CB_22,34,1
CB,CB_22,35,0
CB,CB_22,36,0
CB,CB_22,37,1
CB,CB_23,1,1
CB,CB_23,2,0
CB,CB_23,4,1
CB,CB_23,5,1
CB,CB_23,6,1
CB,CB_23,7,1
CB,CB_23,8,1
CB,CB_23,9,0
CB,CB_23,10,0
CB,CB_23,11,0
CB,CB_23,12,1
CB,CB_23,13,1
CB,CB_23,14,1
CB,CB_23,15,0
CB,CB_23,16,0
CB,CB_23,17,0
CB,CB_23,18,1
CB,CB_23,19,0
CB,CB_23,20,0
CB,CB_23,21,1
CB,CB_23,22,1
CB,CB_23,23,0
CB,CB_23,24,1
CB,CB_23,25,0
CB,CB_23,26,1
CB,CB_23,27,1
CB,CB_23,28,0
CB,CB_23,29,0
CB,CB_23,30,1
CB,CB_23,31,1
CB,CB_23,32,1
CB,CB_23,33,0
CB,CB_23,34,0
CB,CB_23,35,0
CB,CB_23,36,1
CB,CB_23,37,0
S,S_01,1,1
S,S_01,2,1
S,S_01,3,0
S,S_01,4,0
S,S_01,5,0
S,S_01,6,0
S,S_01,7,1
S,S_01,8,1
S,S_01,9,0
S,S_01,10,1
S,S_01,11,1
S,S_01,12,1
S,S_01,13,1
S,S_01,14,0
S,S_01,15,1
S,S_01,16,0
S,S_01,17,1
S,S_01,18,1
S,S_01,19,1
S,S_01,20,1
S,S_01,21,1
S,S_01,22,1
S,S_01,23,0
S,S_01,24,1
S,S_01,25,1
S,S_01,26,1
S,S_01,27,1
S,S_01,28,1
S,S_01,29,1
S,S_01,30,1
S,S_01,31,0
S,S_01,32,1
S,S_01,33,1
S,S_01,34,0
S,S_01,35,1
S,S_01,36,1
S,S_01,37,1
S,S_02,1,1
S,S_02,2,1
S,S_02,4,1
S,S_02,5,1
S,S_02,6,1
S,S_02,7,1
S,S_02,8,0
S,S_02,9,1
S,S_02,10,1
S,S_02,11,1
S,S_02,12,1
S,S_02,13,1
S,S_02,14,1
S,S_02,15,1
S,S_02,16,1
S,S_02,17,1
S,S_02,18,0
S,S_02,19,0
S,S_02,20,0
S,S_02,21,1
S,S_02,22,0
S,S_02,23,1
S,S_02,24,0
S,S_02,25,0
S,S_02,26,1
S,S_02,27,1
S,S_02,28,1
S,S_02,29,0
S,S_02,30,1
S,S_02,31,1
S,S_02,32,1
S,S_02,33,1
S,S_02,34,1
S,S_02,35,0
S,S_02,36,1
S,S_02,37,1
S,S_03,1,1
S,S_03,2,1
S,S_03,3,1
S,S_03,4,1
S,S_03,5,1
S,S_03,6,1
S,S_03,7,1
S,S_03,8,1
S,S_03,9,1
S,S_03,10,0
S,S_03,11,0
S,S_03,12,0
S,S_03,13,1
S,S_03,14,1
S,S_03,15,1
S,S_03,16,1
S,S_03,17,1
S,S_03,18,0
S,S_03,19,1
S,S_03,20,0
S,S_03,21,1
S,S_03,22,1
S,S_03,23,1
S,S_03,24,1
S,S_03,25,1
S,S_03,26,1
S,S_03,27,1
S,S_03,28,1
S,S_03,29,1
S,S_03,30,1
S,S_03,31,1
S,S_03,32,1
S,S_03,33,1
S,S_03,34,1
S,S_03,35,1
S,S_03,36,0
S,S_03,37,1
S,S_04,1,1
S,S_04,2,1
S,S_04,4,1
S,S_04,5,1
S,S_04,6,1
S,S_04,7,1
S,S_04,8,1
S,S_04,9,1
S,S_04,10,1
S,S_04,11,1
S,S_04,12,1
S,S_04,13,1
S,S_04,14,1
S,S_04,15,0
S,S_04,16,0
S,S_04,17,0
S,S_04,18,1
S,S_04,19,1
S,S_04,20,1
S,S_04,21,1
S,S_04,22,0
S,S_04,23,1
S,S_04,24,1
S,S_04,25,1
S,S_04,26,1
S,S_04,27,1
S,S_04,28,1
S,S_04,29,0
S,S_04,30,1
S,S_04,31,1
S,S_04,32,1
S,S_04,33,1
S,S_04,34,0
S,S_04,35,1
S,S_04,36,1
S,S_04,37,1
S,S_05,1,0
S,S_05,2,1
S,S_05,3,1
S,S_05,4,0
S,S_05,5,0
S,S_05,6,0
S,S_05,7,0
S,S_05,8,1
S,S_05,9,0
S,S_05,10,0
S,S_05,11,0
S,S_05,12,0
S,S_05,13,0
S,S_05,14,0
S,S_05,15,0
S,S_05,16,1
S,S_05,17,1
S,S_05,18,1
S,S_05,19,0
S,S_05,20,1
S,S_05,21,0
S,S_05,22,1
S,S_05,23,1
S,S_05,24,0
S,S_05,25,1
S,S_05,26,1
S,S_05,27,0
S,S_05,28,1
